127.0.0.1, 2014-03-24 13:54:19, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000616
127.0.0.1, 2014-03-24 13:54:20, POST, /admin/default/check_version, HTTP/1.1, 200, 0.653529
127.0.0.1, 2014-03-24 13:54:23, GET, /admin/default/design/raju, HTTP/1.1, 200, 0.308474
127.0.0.1, 2014-03-24 13:54:23, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000341
127.0.0.1, 2014-03-24 13:54:23, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000272
127.0.0.1, 2014-03-24 13:54:23, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001488
127.0.0.1, 2014-03-24 13:54:23, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000259
127.0.0.1, 2014-03-24 13:54:29, GET, /admin/default/peek/raju/views/default/index.html, HTTP/1.1, 200, 0.073136
127.0.0.1, 2014-03-24 13:54:31, GET, /admin/default/design/raju, HTTP/1.1, 200, 0.077009
127.0.0.1, 2014-03-24 13:54:33, GET, /admin/default/peek/raju/views/default/index.html, HTTP/1.1, 200, 0.037140
127.0.0.1, 2014-03-24 13:54:35, GET, /admin/default/design/raju, HTTP/1.1, 200, 0.078113
127.0.0.1, 2014-03-24 13:54:38, GET, /admin/default/index, HTTP/1.1, 303, 0.003011
127.0.0.1, 2014-03-24 13:54:38, GET, /admin/default/site, HTTP/1.1, 200, 0.041564
127.0.0.1, 2014-03-24 13:54:41, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.236870
127.0.0.1, 2014-03-24 13:54:51, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.039503
127.0.0.1, 2014-03-24 13:54:52, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.110683
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.015458
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.016077
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.086385
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.087186
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.086421
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.086769
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000264
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000381
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001195
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.016810
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.015924
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.049388
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.050559
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.059294
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000211
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000201
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.080535
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.032296
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.028064
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.025635
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000406
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000198
